State Agency or Indian Tribal Organization,"Cumulative Cost:
 October-September"
Connecticut,15007206.0
Maine,5615211.0
Massachusetts,24881063.0
New Hampshire,4136703.0
New York,136705275.0
Rhode Island,6053808.0
Vermont,4319573.0
"Indian Township, ME",66934.0
"Pleasant Point, ME",42727.0
"Seneca Nation, NY",58060.0
Delaware,5428293.0
District of Columbia,6156168.0
Maryland,29063773.0
New Jersey,37058451.0
Pennsylvania,58125344.0
Puerto Rico,36351894.0
Virginia,33840939.0
Virgin Islands,2009613.0
West Virginia,12387221.0
Alabama,29801171.0
Florida,98911153.0
Georgia,69823569.0
Kentucky,29541377.0
Mississippi,18281462.0
North Carolina,54301443.0
South Carolina,26440565.0
Tennessee,40110890.0
"Choctaw Indians, MS",406680.0
"Eastern Cherokee, NC",380113.0
Illinois,52771740.0
Indiana,32793857.0
Michigan,55859486.0
Minnesota,31059813.0
Ohio,54290012.0
Wisconsin,28357686.0
Arkansas,19741735.0
Louisiana,30511960.0
New Mexico,14532079.0
Oklahoma,21641723.0
Texas,
Texas,192699289.0
"Acoma, Canoncito & Laguna, NM",228943.0
"Eight Northern Pueblos, NM",201064.0
"Five Sandoval Pueblos, NM",230566.0
"Isleta Pueblo, NM",460438.0
"San Felipe Pueblo, NM",174261.0
"Santo Domingo Tribe, NM",242576.0
"Zuni Pueblo, NM",384970.0
"Cherokee Nation, OK",2526774.0
"Chickasaw Nation, OK",2754740.0
"Choctaw Nation, OK",1523321.0
"Citizen Potawatomi Nation, OK",3261451.0
"Inter-Tribal Council, OK",344003.0
"Muscogee Creek Nation, OK",860939.0
"Osage Tribal Council, OK",1167960.0
"Otoe-Missouria Tribe, OK",270189.0
"Wichita, Caddo & Delaware (WCD), OK",2257864.0
Colorado,23695221.0
Iowa,15529493.0
Kansas,16223064.0
Missouri,29390981.0
Montana,5559063.0
Nebraska,10118720.0
North Dakota,3716979.0
South Dakota,6761003.0
Utah,15407547.0
Wyoming,4089760.0
"Ute Mountain Ute Tribe, CO",195718.0
"Omaha Sioux, NE",217830.0
"Santee Sioux, NE",127296.0
"Winnebago Tribe, NE",243181.0
"Standing Rock Sioux Tribe, ND",920616.0
"Three Affiliated Tribes, ND",178372.0
"Cheyenne River Sioux, SD",351933.0
"Rosebud Sioux, SD",648815.0
"Northern Arapahoe, WY",371631.0
"Shoshone Tribe, WY",189115.0
Mountain Plains,133936338.0
Alaska,8163740.0
American Samoa,1661038.0
Arizona,37729127.0
California,306172872.0
Guam,3194307.0
Hawaii,11191384.0
Idaho,9269229.0
Nevada,16287682.0
Oregon,25098247.0
Washington,48551433.0
Northern Marianas,1330265.0
"Inter-Tribal Council, AZ",3422236.0
"Navajo Nation, AZ",2940401.0
"Inter-Tribal Council, NV",583413.0
