State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Cumulative Cost
Connecticut,2538332.0,2324057.0,1422235.0,3386254.0,2116673.0,2187305.0,2059411.0,1819596.0,1813816.0,1836663.0,3407424.0,838563.0,25750329
Maine,624146.0,1245941.0,1258854.0,-121621.0,1177399.0,492970.0,1200591.0,896298.0,482357.0,1216447.0,883662.0,460947.0,9817991
Massachusetts,4431313.0,4640934.0,4448210.0,4484174.0,4313062.0,4357880.0,4473290.0,4568761.0,4347498.0,4560009.0,4476139.0,4373524.0,53474794
New Hampshire,500704.0,486442.0,468920.0,545974.0,407893.0,481661.0,416675.0,456836.0,476960.0,471492.0,481961.0,422555.0,5618073
New York,25695720.0,24881845.0,24701956.0,25131432.0,23474332.0,24371976.0,24710758.0,23345729.0,24807310.0,23590864.0,23361855.0,24321614.0,292395391
Rhode Island,919638.0,925837.0,935042.0,894466.0,903783.0,883284.0,892932.0,974955.0,885047.0,870426.0,928957.0,879917.0,10894284
Vermont,735474.0,661476.0,742479.0,601246.0,644621.0,543240.0,570528.0,544361.0,555930.0,547507.0,544167.0,645967.0,7336996
"Indian Township, ME",2212.0,6193.0,3315.0,4105.0,4099.0,4397.0,3941.0,3296.0,4079.0,4565.0,3663.0,3337.0,47202
"Pleasant Point, ME",4300.0,3980.0,4028.0,3437.0,3223.0,3142.0,3322.0,3377.0,3311.0,3704.0,4213.0,3578.0,43615
"Seneca Nation, NY",7637.0,7418.0,7400.0,7131.0,7335.0,5600.0,5909.0,5920.0,5944.0,6781.0,6687.0,7165.0,80927
Delaware,783962.0,751926.0,799607.0,1149271.0,305384.0,717990.0,711150.0,744961.0,709866.0,1092537.0,635351.0,299725.0,8701730
District of Columbia,620813.0,490761.0,650466.0,535394.0,596674.0,634614.0,605992.0,881480.0,358386.0,904829.0,570169.0,532002.0,7381580
Maryland,4459560.0,8376813.0,6563560.0,6112731.0,5923947.0,4057838.0,8361734.0,5837596.0,6360136.0,6042581.0,6008845.0,6243355.0,74348696
New Jersey,8592530.0,8383559.0,8234754.0,8593904.0,7694113.0,8440316.0,8123016.0,8238098.0,8321900.0,8530688.0,8070644.0,8423718.0,99647240
Pennsylvania,5728462.0,9788803.0,19215468.0,5685257.0,10035394.0,6343477.0,14971601.0,10102737.0,5369890.0,15315668.0,6039558.0,17195426.0,125791741
Puerto Rico,14517899.0,14469461.0,14090257.0,14537989.0,14284836.0,13997519.0,13965995.0,12512146.0,12968066.0,13063299.0,12872575.0,13330348.0,164610390
Virginia,7733590.0,4473240.0,1735469.0,7160538.0,4304615.0,1655698.0,6792284.0,1905224.0,5015840.0,6702780.0,4453407.0,4245202.0,56177887
Virgin Islands,342459.0,349977.0,337903.0,390858.0,299375.0,350220.0,292151.0,368875.0,267058.0,392769.0,248919.0,320073.0,3960637
West Virginia,2522651.0,1545225.0,945780.0,1541335.0,1519147.0,1629146.0,2339982.0,1545704.0,1645325.0,1567764.0,1556695.0,1585464.0,19944218
Alabama,4119549.0,8402906.0,4002722.0,6003569.0,5773854.0,6364989.0,5475727.0,5942565.0,6130514.0,5700519.0,6385716.0,6248868.0,70551498
Florida,20611465.0,20477112.0,19954136.0,20216722.0,18970754.0,19480867.0,20026561.0,20018568.0,20184492.0,20662630.0,20105845.0,22156743.0,242865895
Georgia,10635672.0,10360297.0,10125467.0,10622146.0,9800448.0,9938990.0,10003750.0,9535408.0,10394816.0,9566067.0,9260607.0,10345283.0,120588951
Kentucky,2221248.0,4605487.0,7041297.0,2188569.0,4236589.0,4405181.0,4551667.0,4355149.0,4467820.0,4470168.0,6913298.0,4467960.0,53924433
Mississippi,5036720.0,4092269.0,4204248.0,5435579.0,4381974.0,4920546.0,4198168.0,5130380.0,4202188.0,4329883.0,4833435.0,3600383.0,54365773
North Carolina,10940810.0,10207026.0,10426681.0,8782320.0,9445807.0,10756150.0,10432811.0,9642570.0,10792073.0,10403174.0,10214531.0,11410642.0,123454595
