State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Average Participation
Connecticut,50960.0,49600.0,49922.0,49803.0,48351.0,49374.0,48162.0,48920.0,48908.0,48221.0,48842.0,48798.0,49155.083333333336
Maine,21180.0,21099.0,20952.0,21006.0,20795.0,20866.0,20628.0,20488.0,20310.0,20139.0,20466.0,20286.0,20684.583333333332
Massachusetts,114142.0,115972.0,114682.0,112913.0,113624.0,113843.0,113273.0,116040.0,111516.0,114669.0,116258.0,116091.0,114418.58333333333
New Hampshire,14689.0,14301.0,14182.0,14166.0,14059.0,14263.0,13916.0,14159.0,14139.0,13945.0,13888.0,13750.0,14121.416666666666
New York,470638.0,467100.0,462290.0,459356.0,457118.0,458835.0,457372.0,458136.0,456905.0,451073.0,454833.0,453304.0,458913.3333333333
Rhode Island,20934.0,20701.0,20694.0,20446.0,19853.0,20420.0,20150.0,20443.0,20434.0,19836.0,20162.0,20430.0,20375.25
Vermont,13422.0,13384.0,13217.0,13190.0,12876.0,12686.0,12799.0,12600.0,12472.0,12251.0,12134.0,12036.0,12755.583333333334
"Indian Township, ME",62.0,62.0,55.0,56.0,63.0,66.0,66.0,65.0,72.0,70.0,64.0,62.0,63.583333333333336
"Pleasant Point, ME",61.0,57.0,57.0,50.0,51.0,51.0,54.0,58.0,63.0,62.0,65.0,61.0,57.5
"Seneca Nation, NY",199.0,207.0,200.0,191.0,190.0,164.0,175.0,175.0,175.0,193.0,190.0,193.0,187.66666666666666
Delaware,18683.0,18346.0,18276.0,18458.0,18210.0,18226.0,18249.0,18004.0,17586.0,17503.0,17797.0,17831.0,18097.416666666668
District of Columbia,14300.0,14548.0,14538.0,14218.0,14081.0,14382.0,14429.0,14437.0,14322.0,14142.0,14509.0,14451.0,14363.083333333334
Maryland,143142.0,141468.0,140192.0,138100.0,138914.0,139343.0,139662.0,139316.0,139982.0,137989.0,138926.0,137877.0,139575.91666666666
New Jersey,160477.0,157285.0,156689.0,154911.0,154253.0,154741.0,153247.0,154341.0,154108.0,153588.0,155112.0,154672.0,155285.33333333334
Pennsylvania,245696.0,243470.0,241346.0,238006.0,236352.0,237360.0,236137.0,235201.0,235490.0,232270.0,233041.0,232090.0,237204.91666666666
Puerto Rico,163930.0,161466.0,162929.0,159670.0,159202.0,156584.0,154887.0,152146.0,152016.0,148455.0,149628.0,148042.0,155746.25
Virginia,139899.0,136173.0,134223.0,131145.0,130096.0,131866.0,131315.0,131515.0,131180.0,130095.0,131130.0,130211.0,132404
Virgin Islands,4322.0,4313.0,4240.0,4258.0,4268.0,4176.0,4151.0,4194.0,4108.0,4025.0,4020.0,4040.0,4176.25
West Virginia,41477.0,40837.0,40668.0,40318.0,40055.0,40457.0,40223.0,39957.0,39904.0,39788.0,40461.0,40546.0,40390.916666666664
Alabama,133216.0,130715.0,129437.0,129720.0,128220.0,128557.0,127560.0,127811.0,128639.0,127439.0,129285.0,129320.0,129159.91666666667
Florida,493889.0,486693.0,480765.0,481027.0,477177.0,480570.0,479364.0,478850.0,479086.0,479408.0,482277.0,479129.0,481519.5833333333
Georgia,261263.0,257426.0,255591.0,253267.0,252786.0,254512.0,252079.0,251684.0,251901.0,249744.0,252688.0,250890.0,253652.58333333334
Kentucky,115801.0,113643.0,112141.0,111318.0,110861.0,111786.0,111103.0,111013.0,110824.0,110201.0,112260.0,112162.0,111926.08333333333
Mississippi,88337.0,87008.0,84480.0,83952.0,83126.0,83373.0,81816.0,82543.0,83783.0,82786.0,83932.0,84574.0,84142.5
North Carolina,249255.0,245698.0,243284.0,241610.0,238871.0,238703.0,237076.0,238414.0,238728.0,237788.0,239929.0,238929.0,240690.41666666666
South Carolina,109994.0,109226.0,108035.0,107559.0,107528.0,108204.0,106419.0,105564.0,105840.0,105583.0,107123.0,106003.0,107256.5
Tennessee,149350.0,146242.0,144110.0,142014.0,141243.0,142059.0,141971.0,142292.0,143243.0,142167.0,145201.0,144870.0,143730.16666666666
"Choctaw Indians, MS",808.0,756.0,683.0,723.0,685.0,666.0,684.0,724.0,719.0,707.0,775.0,761.0,724.25
"Eastern Cherokee, NC",638.0,637.0,603.0,581.0,568.0,580.0,617.0,604.0,555.0,563.0,609.0,615.0,597.5
Illinois,232671.0,227977.0,226030.0,225409.0,224064.0,226781.0,224341.0,224068.0,223589.0,219529.0,224105.0,223338.0,225158.5
Indiana,152209.0,149544.0,148829.0,149342.0,147464.0,148201.0,146530.0,146401.0,146380.0,144551.0,147234.0,148182.0,147905.58333333334
Michigan,242041.0,238807.0,234837.0,234962.0,232684.0,233500.0,233424.0,233459.0,232957.0,231914.0,232991.0,232976.0,234546
