State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Cumulative Cost
Connecticut,985593.0,1064295.0,2047132.0,18766.0,1135145.0,1010025.0,939442.0,1122093.0,1041154.0,1086244.0,0.0,2289144.0,12739033
Maine,631619.0,,,1375917.0,33609.0,736394.0,6330.0,330078.0,727858.0,0.0,356022.0,739540.0,4937367
Massachusetts,2029146.0,1874395.0,2074880.0,1976701.0,2021460.0,2028698.0,1868847.0,2013911.0,1933106.0,1982977.0,2088369.0,2078476.0,23970966
New Hampshire,266137.0,251401.0,268634.0,190804.0,292784.0,231905.0,279871.0,264911.0,239478.0,236833.0,224555.0,266478.0,3013791
New York,7964244.0,8634969.0,8387302.0,7851062.0,9144693.0,7990379.0,7882392.0,9193096.0,7819964.0,8425827.0,9060377.0,8520563.0,100874868
Rhode Island,457101.0,411377.0,432528.0,447813.0,391968.0,456128.0,431536.0,387985.0,462088.0,454063.0,416161.0,439011.0,5187759
Vermont,8554.0,14764.0,23948.0,34767.0,40518.0,54990.0,73770.0,78428.0,78758.0,79185.0,79942.0,80741.0,648365
"Indian Township, ME",,,,,,,,,,,,, 
"Pleasant Point, ME",,,,,,,,,,,,, 
"Seneca Nation, NY",4200.0,4514.0,4344.0,4432.0,4073.0,3990.0,4263.0,4327.0,4321.0,5341.0,4743.0,5006.0,53554
Delaware,418355.0,415634.0,363550.0,21220.0,823986.0,403880.0,446926.0,374839.0,397436.0,0.0,459255.0,797049.0,4922130
District of Columbia,330368.0,467896.0,316122.0,401526.0,313863.0,315603.0,344576.0,57174.0,561569.0,48280.0,395627.0,418367.0,3970971
Maryland,4529090.0,437280.0,2265815.0,2504451.0,2727619.0,4383982.0,341079.0,2635684.0,2264655.0,2393191.0,2527899.0,2274827.0,29285572
New Jersey,2696991.0,2887557.0,2867106.0,2623044.0,3062323.0,2681336.0,2668733.0,2944748.0,2599911.0,2652718.0,2976554.0,2755206.0,33416227
Pennsylvania,0.0,4892162.0,4803088.0,9630377.0,4858905.0,9347688.0,0.0,4633818.0,9341760.0,0.0,9155124.0,,56662922
Puerto Rico,1577296.0,1332670.0,1590974.0,1274893.0,1357738.0,1454881.0,1251014.0,1342215.0,1304235.0,1195630.0,1332367.0,1160492.0,16174405
Virginia,0.0,2694050.0,5343348.0,0.0,2562280.0,5321845.0,0.0,5059957.0,2492578.0,0.0,2628147.0,2524639.0,28626844
Virgin Islands,67673.0,61985.0,59760.0,17387.0,100051.0,31611.0,105251.0,28253.0,127089.0,,131749.0,68112.0,798921
