State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Average Participation
Connecticut,8507.0,8350.0,8391.0,8251.0,8018.0,8271.0,8192.0,8418.0,8475.0,8484.0,8547.0,8539.0,8370.25
Maine,3596.0,3541.0,3519.0,3513.0,3408.0,3446.0,3442.0,3448.0,3423.0,3402.0,3449.0,3411.0,3466.5
Massachusetts,16995.0,16817.0,16805.0,16833.0,16634.0,16821.0,16725.0,16822.0,16826.0,16665.0,16673.0,16674.0,16774.166666666668
New Hampshire,2458.0,2358.0,2353.0,2313.0,2298.0,2360.0,2327.0,2323.0,2297.0,2302.0,2292.0,2137.0,2318.1666666666665
New York,61175.0,60939.0,60325.0,60510.0,60005.0,59839.0,59564.0,59481.0,58963.0,58399.0,58197.0,57986.0,59615.25
Rhode Island,4047.0,3989.0,3984.0,3952.0,3856.0,3964.0,3924.0,3951.0,3952.0,3828.0,3844.0,3797.0,3924.0
Vermont,1410.0,1407.0,1390.0,1386.0,1350.0,1344.0,1352.0,1351.0,1343.0,1337.0,1330.0,1295.0,1357.9166666666667
"Indian Township, ME",14.0,15.0,13.0,11.0,12.0,10.0,13.0,10.0,11.0,10.0,11.0,7.0,11.416666666666666
"Pleasant Point, ME",15.0,14.0,15.0,12.0,10.0,10.0,8.0,7.0,6.0,7.0,10.0,12.0,10.5
"Seneca Nation, NY",42.0,44.0,52.0,51.0,47.0,43.0,46.0,48.0,45.0,48.0,52.0,50.0,47.333333333333336
Delaware,3204.0,3456.0,3709.0,3898.0,3806.0,3826.0,3824.0,3808.0,3731.0,3745.0,3740.0,3768.0,3709.5833333333335
District of Columbia,2391.0,2442.0,2453.0,2409.0,2361.0,2435.0,2417.0,2422.0,2416.0,2417.0,2452.0,2445.0,2421.6666666666665
Maryland,21392.0,21214.0,21039.0,20648.0,20583.0,20639.0,20534.0,20464.0,20500.0,20315.0,20267.0,20092.0,20640.583333333332
New Jersey,20946.0,20610.0,20587.0,20302.0,20066.0,20330.0,20175.0,19938.0,19930.0,19769.0,19993.0,19681.0,20193.916666666668
Pennsylvania,52841.0,52366.0,52035.0,51530.0,51307.0,51265.0,50942.0,50495.0,50397.0,49847.0,50027.0,49917.0,51080.75
Puerto Rico,20119.0,19485.0,19537.0,18960.0,18766.0,18508.0,18205.0,17950.0,17915.0,17534.0,17622.0,17530.0,18510.916666666668
Virginia,28605.0,28104.0,27975.0,27539.0,27263.0,27597.0,27517.0,27529.0,27456.0,27311.0,27459.0,27324.0,27639.916666666668
Virgin Islands,358.0,359.0,361.0,354.0,368.0,367.0,388.0,393.0,384.0,377.0,383.0,376.0,372.3333333333333
West Virginia,8823.0,8738.0,8794.0,8766.0,8824.0,8916.0,8864.0,8750.0,8767.0,8699.0,8733.0,8682.0,8779.666666666666
Alabama,30724.0,30460.0,30307.0,30224.0,30114.0,30107.0,30001.0,29975.0,30117.0,29946.0,29895.0,29815.0,30140.416666666668
Florida,82408.0,81103.0,80176.0,79934.0,79183.0,79938.0,79905.0,79977.0,80150.0,80226.0,79603.0,78567.0,80097.5
Georgia,46451.0,45529.0,44371.0,38449.0,38687.0,39423.0,38676.0,38053.0,41313.0,40833.0,41257.0,39087.0,41010.75
Kentucky,24307.0,24156.0,24153.0,23917.0,23877.0,24100.0,23890.0,23817.0,23865.0,23545.0,23768.0,23552.0,23912.25
Mississippi,22870.0,22631.0,22249.0,21996.0,21895.0,22020.0,21744.0,21749.0,21917.0,21627.0,21719.0,21615.0,22002.666666666668
North Carolina,43303.0,42926.0,42599.0,42082.0,41503.0,41577.0,41189.0,41275.0,41324.0,40943.0,40838.0,40555.0,41676.166666666664
