State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Cumulative Average
Connecticut,49.8103,46.856,28.4891,67.993,43.7772,44.3007,42.7601,37.1953,37.0863,38.0884,69.7642,17.1844,43.65491022461224
Maine,29.4686,59.0521,60.0828,-5.7898,56.6193,23.6255,58.202,43.7475,23.7497,60.4026,43.1771,22.7224,39.55438228954737
Massachusetts,38.8228,40.0177,38.7873,39.7135,37.9591,38.2797,39.4912,39.3723,38.9854,39.7667,38.5018,37.6732,38.94675762896907
New Hampshire,34.087,34.0145,33.0644,38.5412,29.0129,33.77,29.9422,32.2647,33.7336,33.8108,34.7034,30.7313,33.15338404432983
New York,54.5976,53.2688,53.4339,54.7101,51.3529,53.1171,54.0277,50.9581,54.2942,52.2994,51.3636,53.6541,53.0956082847887
Rhode Island,43.9304,44.7243,45.1842,43.7477,45.5237,43.2558,44.3142,47.6914,43.3125,43.8811,46.0746,43.0698,44.55685206316487
Vermont,54.7962,49.4229,56.1761,45.5835,50.0638,42.822,44.576,43.2033,44.5742,44.6908,44.8465,53.6696,47.93323185271809
"Indian Township, ME",35.6774,99.8871,60.2727,73.3036,65.0635,66.6212,59.7121,50.7077,56.6528,65.2143,57.2344,53.8226,61.863695937090434
"Pleasant Point, ME",70.4918,69.8246,70.6667,68.74,63.1961,61.6078,61.5185,58.2241,52.5556,59.7419,64.8154,58.6557,63.210144927536234
"Seneca Nation, NY",38.3769,35.8357,37.0,37.3351,38.6053,34.1463,33.7657,33.8286,33.9657,35.1347,35.1947,37.1244,35.935612788632326
Delaware,41.9612,40.9858,43.7518,62.2641,16.7701,39.3937,38.9693,41.3775,40.3654,62.42,35.6999,16.8092,40.068932490364645
District of Columbia,43.4135,33.7339,44.7425,37.6561,42.3744,44.1256,41.9982,61.057,25.0235,63.9817,39.2976,36.8142,42.827271303167265
Maryland,31.1548,59.2135,46.8184,44.2631,42.6447,29.1212,59.8712,41.9018,45.4354,43.7903,43.2521,45.2821,44.3896398077271
New Jersey,53.5437,53.3017,52.5548,55.4764,49.8798,54.5448,53.006,53.376,54.0004,55.5427,52.0311,54.4618,53.475344312405554
Pennsylvania,23.3152,40.2054,79.6179,23.887,42.4595,26.7251,63.4022,42.9536,22.803,65.9391,25.9163,74.0895,44.19236005155879
Puerto Rico,88.5616,89.6131,86.481,91.0502,89.7277,89.393,90.1689,82.2378,85.3072,87.995,86.0305,90.0444,88.07616555775822
