State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Cumulative Cost
Connecticut,1334523.0,1082117.0,1205599.0,1092467.0,1143050.0,1245555.0,941399.0,1110258.0,1062192.0,1104713.0,1013951.0,1185971.0,13521795
Maine,386088.0,339920.0,402542.0,325069.0,379087.0,369408.0,307850.0,382275.0,356652.0,368036.0,324338.0,379873.0,4321138
Massachusetts,2270627.0,2008257.0,2239189.0,1992116.0,2255256.0,2261147.0,1888459.0,2150540.0,2103705.0,2076170.0,1995769.0,2204279.0,25445514
New Hampshire,297753.0,271100.0,362535.0,269415.0,271858.0,267698.0,244583.0,334382.0,327004.0,243086.0,233954.0,281982.0,3405350
New York,9130669.0,8921747.0,10126633.0,8288454.0,9485321.0,9400935.0,8184134.0,9087151.0,9207502.0,9123485.0,8569929.0,9755019.0,109280979
Rhode Island,546517.0,894077.0,0.0,538275.0,416675.0,510280.0,469576.0,421927.0,485558.0,467400.0,462586.0,434211.0,5647082
Vermont,,,,,,,,,,,,, 
"Indian Township, ME",0.0,0.0,0.0,0.0,,,,,,,,, 
"Pleasant Point, ME",,,,,,,,,,,,, 
"Seneca Nation, NY",3231.0,3116.0,3316.0,4098.0,4338.0,3813.0,3842.0,3830.0,4270.0,3823.0,3409.0,3646.0,44732
Delaware,425012.0,45501.0,483703.0,396816.0,415134.0,862791.0,443914.0,42851.0,869352.0,434994.0,485093.0,428190.0,5333351
District of Columbia,700796.0,58839.0,391734.0,365382.0,340157.0,703745.0,3305.0,335851.0,743269.0,344933.0,377404.0,274595.0,4640010
Maryland,4965790.0,2962928.0,2417198.0,236310.0,2744135.0,4807991.0,295826.0,4966509.0,487443.0,2534547.0,4871306.0,2441147.0,33731130
New Jersey,2861267.0,2798923.0,3137221.0,2646973.0,3008882.0,3058305.0,2648630.0,3079566.0,3044418.0,2985797.0,2875431.0,3285312.0,35430725
Pennsylvania,4579562.0,4408332.0,0.0,4281583.0,6486211.0,10208284.0,4819472.0,10094881.0,3274832.0,4940062.0,0.0,15028436.0,68121655
Puerto Rico,1874197.0,1435647.0,1543999.0,1576571.0,1381289.0,1453401.0,1586810.0,1530979.0,1379585.0,1553326.0,1386421.0,1339557.0,18041782
