State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Average Participation
Connecticut,1062.0,1046.0,987.0,991.0,978.0,981.0,979.0,970.0,972.0,1008.0,1012.0,1036.0,1001.8333333333334
Maine,1002.0,966.0,922.0,933.0,955.0,936.0,937.0,944.0,918.0,929.0,902.0,906.0,937.5
Massachusetts,3337.0,3274.0,3095.0,3131.0,3048.0,3146.0,3140.0,3195.0,3105.0,3151.0,3150.0,3148.0,3160.0
New Hampshire,627.0,625.0,623.0,606.0,587.0,598.0,616.0,612.0,615.0,608.0,583.0,588.0,607.3333333333334
New York,10115.0,9907.0,9755.0,9779.0,9801.0,9856.0,9767.0,9984.0,10072.0,10235.0,10169.0,10454.0,9991.166666666666
Rhode Island,347.0,329.0,336.0,368.0,369.0,376.0,377.0,353.0,375.0,357.0,378.0,360.0,360.4166666666667
Vermont,826.0,861.0,846.0,854.0,835.0,857.0,854.0,868.0,850.0,864.0,867.0,880.0,855.1666666666666
"Indian Township, ME",1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,6.0,2.0
"Pleasant Point, ME",2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8333333333333334
"Seneca Nation, NY",1.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,6.0,4.0,3.0
Delaware,371.0,331.0,329.0,335.0,342.0,342.0,351.0,350.0,366.0,360.0,348.0,333.0,346.5
District of Columbia,362.0,371.0,357.0,374.0,361.0,351.0,372.0,317.0,342.0,365.0,368.0,387.0,360.5833333333333
Maryland,3252.0,3182.0,3103.0,3095.0,3070.0,3185.0,3370.0,3430.0,3460.0,3483.0,3535.0,3639.0,3317.0
