State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Average Participation
Connecticut,13588.0,13275.0,13179.0,13401.0,12873.0,13058.0,13028.0,13061.0,12981.0,13242.0,13165.0,13111.0,13163.5
Maine,5457.0,5464.0,5536.0,5590.0,5398.0,5418.0,5407.0,5389.0,5339.0,5359.0,5359.0,5382.0,5424.833333333333
Massachusetts,27292.0,26759.0,25979.0,26475.0,26021.0,26110.0,26271.0,26430.0,26149.0,26415.0,26161.0,26211.0,26356.083333333332
New Hampshire,3897.0,3796.0,3782.0,3795.0,3759.0,3794.0,3771.0,3710.0,3674.0,3742.0,3695.0,3653.0,3755.6666666666665
New York,113998.0,111902.0,110599.0,109772.0,109049.0,109190.0,108882.0,109023.0,108975.0,108916.0,108817.0,109665.0,109899
Rhode Island,5503.0,5362.0,5381.0,5441.0,5380.0,5440.0,5385.0,5375.0,5376.0,5375.0,5328.0,5383.0,5394.083333333333
Vermont,2770.0,2745.0,2716.0,2652.0,2685.0,2648.0,2680.0,2686.0,2690.0,2646.0,2648.0,2702.0,2689
"Indian Township, ME",8.0,9.0,8.0,9.0,10.0,11.0,10.0,12.0,18.0,17.0,19.0,24.0,12.916666666666666
"Pleasant Point, ME",25.0,22.0,22.0,19.0,20.0,21.0,22.0,20.0,16.0,15.0,15.0,16.0,19.416666666666668
"Seneca Nation, NY",40.0,36.0,39.0,44.0,45.0,48.0,50.0,50.0,58.0,54.0,54.0,53.0,47.583333333333336
Delaware,5176.0,5187.0,5137.0,5137.0,5212.0,5186.0,5192.0,5219.0,5234.0,5306.0,5304.0,5223.0,5209.416666666667
District of Columbia,4647.0,4474.0,4391.0,4363.0,4251.0,4278.0,4279.0,4271.0,4244.0,4285.0,4235.0,4213.0,4327.583333333333
Maryland,34382.0,33668.0,33165.0,33547.0,33048.0,33415.0,33608.0,33688.0,33762.0,34170.0,34139.0,34278.0,33739.166666666664
New Jersey,37020.0,35983.0,35889.0,36558.0,36255.0,36537.0,36473.0,36969.0,36901.0,37207.0,37044.0,37324.0,36680
Pennsylvania,62678.0,61127.0,61307.0,60732.0,59222.0,60511.0,60616.0,60101.0,59998.0,60653.0,60527.0,61273.0,60728.75
Puerto Rico,36194.0,34415.0,34019.0,34023.0,33839.0,34379.0,34188.0,33725.0,33716.0,33311.0,33502.0,33746.0,34088.083333333336
Virginia,38056.0,37228.0,36619.0,36677.0,36745.0,36778.0,36547.0,36279.0,36007.0,36716.0,37016.0,36805.0,36789.416666666664
Virgin Islands,1030.0,1004.0,994.0,987.0,1000.0,1012.0,1003.0,1019.0,1005.0,1002.0,974.0,996.0,1002.1666666666666
West Virginia,11513.0,11250.0,11073.0,11075.0,10979.0,11039.0,10833.0,10968.0,10943.0,10862.0,10860.0,10985.0,11031.666666666666
Alabama,34713.0,32607.0,33891.0,34640.0,33740.0,33625.0,33930.0,34288.0,34082.0,34171.0,34007.0,34036.0,33977.5
Florida,115594.0,113541.0,111853.0,112284.0,113407.0,114668.0,115304.0,116007.0,116580.0,118303.0,118667.0,119514.0,115476.83333333333
Georgia,65729.0,64139.0,62176.0,64401.0,63727.0,64084.0,63695.0,64838.0,64723.0,64745.0,64900.0,65242.0,64366.583333333336
Kentucky,33789.0,32985.0,32639.0,30449.0,30135.0,30603.0,30660.0,30789.0,30581.0,30883.0,30805.0,30930.0,31270.666666666668
Mississippi,25713.0,25456.0,25948.0,25646.0,25096.0,25791.0,25785.0,25889.0,26117.0,26072.0,26235.0,26186.0,25827.833333333332
North Carolina,62298.0,61724.0,61149.0,61290.0,61057.0,61805.0,61995.0,62540.0,62980.0,62906.0,62483.0,62040.0,62022.25
South Carolina,32899.0,32021.0,31822.0,31657.0,31271.0,31434.0,31274.0,31732.0,31998.0,32570.0,32685.0,33017.0,32031.666666666668
Tennessee,42953.0,41983.0,41745.0,42013.0,41747.0,41699.0,41909.0,42140.0,42087.0,42601.0,42730.0,42934.0,42211.75
"Choctaw Indians, MS",186.0,187.0,186.0,193.0,184.0,194.0,179.0,168.0,164.0,173.0,173.0,180.0,180.58333333333334
"Eastern Cherokee, NC",132.0,123.0,116.0,123.0,122.0,128.0,126.0,145.0,138.0,140.0,140.0,148.0,131.75
Illinois,72142.0,70646.0,70232.0,70343.0,69976.0,70530.0,70924.0,70975.0,70667.0,71321.0,71221.0,71412.0,70865.75
Indiana,40294.0,39605.0,39194.0,39162.0,39019.0,39369.0,39508.0,39486.0,39324.0,39917.0,39908.0,39762.0,39545.666666666664
Michigan,63487.0,62469.0,61470.0,61884.0,61186.0,61986.0,61899.0,62756.0,62749.0,63441.0,63167.0,62845.0,62444.916666666664
Minnesota,28075.0,27821.0,27642.0,27666.0,27063.0,27372.0,27452.0,27642.0,27574.0,27859.0,27762.0,27740.0,27639
Ohio,67197.0,66029.0,65437.0,65274.0,64741.0,65061.0,65602.0,65818.0,65985.0,66281.0,66112.0,65962.0,65791.58333333333
