State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Cumulative Cost
Connecticut,2339387.0,2464447.0,2319323.0,2515399.0,2194009.0,2210381.0,2507437.0,2408707.0,2443166.0,2553654.0,2622336.0,2573846.0,29152092
Maine,981475.0,970857.0,935511.0,1037893.0,938496.0,987493.0,1048891.0,1096180.0,1013398.0,1022928.0,1050511.0,1027977.0,12111610
Massachusetts,4516908.0,4742321.0,4124801.0,4600864.0,3977568.0,4094482.0,4806932.0,4391487.0,4424307.0,4821185.0,4904850.0,4739411.0,54145116
New Hampshire,483172.0,468438.0,392224.0,491667.0,466753.0,479816.0,519721.0,420840.0,424442.0,524571.0,538310.0,528634.0,5738588
New York,29070117.0,27552258.0,25821860.0,27627921.0,25842457.0,25814592.0,27316049.0,26671643.0,26746066.0,26425279.0,26941821.0,26470820.0,322300883
Rhode Island,997316.0,570632.0,1476224.0,947164.0,1013742.0,933054.0,953431.0,994086.0,945598.0,958206.0,975604.0,995405.0,11760462
Vermont,727293.0,763348.0,750631.0,747784.0,735651.0,731656.0,758387.0,772192.0,751147.0,758213.0,765246.0,770117.0,9031665
"Indian Township, ME",3789.0,3747.0,3727.0,4332.0,4014.0,4473.0,4040.0,4346.0,4722.0,5802.0,5926.0,5965.0,54883
"Pleasant Point, ME",5379.0,4907.0,4674.0,4743.0,5338.0,5750.0,5669.0,5346.0,5630.0,5200.0,5713.0,4715.0,63064
"Seneca Nation, NY",4273.0,3731.0,3816.0,4937.0,4630.0,4847.0,5372.0,4960.0,6108.0,5966.0,5429.0,6633.0,60702
Delaware,809292.0,1200322.0,730935.0,824165.0,802988.0,335149.0,772889.0,1197682.0,385435.0,835638.0,806941.0,854036.0,9555472
District of Columbia,390736.0,980092.0,637713.0,661948.0,604954.0,255125.0,967726.0,651233.0,257184.0,658029.0,632129.0,726433.0,7423302
Maryland,3846573.0,5601991.0,6044184.0,8170119.0,5654346.0,3412428.0,8194622.0,3543072.0,8343010.0,6192459.0,4221640.0,6530892.0,69755336
New Jersey,8795283.0,8423995.0,8174519.0,8852339.0,8206313.0,8353113.0,8844532.0,8652594.0,8784754.0,9071862.0,9255570.0,8882891.0,104297765
Pennsylvania,2711169.0,10306977.0,24294107.0,12409290.0,8037067.0,5108652.0,10961676.0,6003259.0,12914752.0,12362404.0,16042355.0,3589619.0,124741327
Puerto Rico,15119280.0,14621310.0,13885528.0,13757884.0,14231212.0,14616931.0,14310742.0,14227236.0,14539885.0,14461067.0,14521276.0,14664401.0,172956752
Virginia,5304891.0,4539673.0,5078811.0,4956299.0,4328939.0,4996435.0,4907528.0,7200834.0,5615875.0,6395945.0,7215358.0,5260741.0,65801329
