State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Cumulative Average
Connecticut,42.6755,46.5473,44.7504,47.6501,43.5267,42.8767,48.5223,45.8731,46.7583,47.8831,49.2513,48.2165,46.219679133193495
Maine,41.2766,41.7142,40.8556,45.0729,41.4878,43.3054,46.2372,48.3133,45.2047,45.4352,46.8518,45.8345,44.27453876157437
Massachusetts,38.6173,39.7066,37.2231,40.2797,35.8394,36.8949,41.088,38.2694,38.9498,40.9446,41.9189,40.2201,39.19801234034328
New Hampshire,31.6523,31.6748,26.7565,33.3175,32.033,32.7654,35.0949,28.5006,28.99,35.7264,36.8908,36.0719,32.45238674214363
New York,57.4053,55.6163,53.0865,57.2219,53.9864,53.6742,56.8711,55.1426,55.257,54.6261,55.9505,54.653,55.29912455017039
Rhode Island,42.9452,25.8134,67.5339,42.3389,46.2178,42.4405,43.2395,44.7968,42.7679,43.7797,44.6296,45.0634,44.2680142284456
Vermont,50.1305,52.5794,52.0837,52.1031,51.6609,51.85,53.7253,54.7421,53.3447,53.8848,54.5669,54.3063,52.9033798031865
"Indian Township, ME",59.2031,52.0417,54.8088,61.8857,53.52,63.0,58.5507,67.9063,64.6849,70.7561,68.1149,63.4574,61.73565804274466
"Pleasant Point, ME",71.72,72.1618,71.9077,75.2857,79.6716,76.6667,70.8625,65.1951,67.8313,60.4651,67.2118,56.8072,69.14912280701755
"Seneca Nation, NY",35.9076,35.1981,33.1826,39.496,37.3387,40.0579,44.0328,38.1538,39.1538,37.7595,34.5796,46.3846,38.516497461928935
Delaware,39.7608,59.3044,36.929,41.923,40.7712,17.0916,39.5582,60.9104,19.4321,41.7381,40.3007,42.6081,40.06924025260616
District of Columbia,24.9943,65.2438,43.7779,45.4447,43.2326,18.2506,68.6818,46.1507,17.8786,45.5478,43.3916,49.6028,42.6611840971001
Maryland,26.5655,39.6798,43.9408,59.4152,41.5779,24.9122,59.0684,25.3595,59.1434,43.381,29.3082,44.9507,41.38313880296488
New Jersey,52.9779,52.0913,51.0126,54.7265,51.6091,51.8463,55.0355,52.9,53.5917,54.7692,55.7746,53.2043,53.30588677239483
Pennsylvania,10.5854,40.9633,98.0154,50.487,33.3976,21.0119,44.5229,24.2286,51.7978,49.2138,63.6192,14.1717,41.787541388454514
Puerto Rico,83.036,84.9454,80.4851,81.0083,83.6722,82.8488,81.5873,82.6934,84.0825,83.6882,84.0994,84.6665,83.06769933308294
Virginia,34.0936,29.9551,34.5164,33.9985,30.103,34.7484,34.4226,51.1681,40.5604,45.2573,50.7655,36.9691,37.92210047309458
Virgin Islands,58.7278,79.808,76.1325,80.7761,78.6452,78.1299,78.0118,82.9249,63.2602,79.9166,81.7491,80.7128,76.49268590734285
West Virginia,32.0235,61.232,37.3153,39.0747,43.174,37.4318,45.0121,17.5911,56.5861,40.2826,23.5074,37.9386,39.282858230981624
Alabama,43.5838,41.4704,44.0515,47.3151,43.8814,41.9794,45.6063,49.2001,49.1025,46.4365,33.6501,55.5164,45.1863127203818
Florida,44.1252,44.4908,42.4289,46.1494,41.8483,48.8698,53.4178,29.9226,60.0916,26.7896,43.851,43.9744,43.797034616495026
Georgia,39.8529,40.034,39.1186,43.1812,38.0383,39.2096,42.8188,40.6751,21.6013,61.7781,42.7996,40.3369,40.81496485100362
Kentucky,38.9231,38.3814,58.759,21.4383,36.7238,42.5916,42.8021,41.8531,19.7377,62.9292,43.9711,41.519,40.85903313290142
Mississippi,56.2104,52.4967,58.1223,52.3177,57.6983,51.6062,51.1957,47.5192,42.7909,57.8525,56.2188,53.0767,53.066686288244156
North Carolina,44.1703,44.7378,39.8895,47.1752,42.2608,41.5485,54.4613,36.4271,48.2046,54.2436,55.6655,50.8469,46.64286869453822
South Carolina,44.4764,43.2481,44.0085,49.1906,42.9125,45.0604,47.6388,45.7969,48.6537,47.0285,48.7021,53.3203,46.71074245685133
Tennessee,22.2289,62.8442,42.6564,43.3279,42.6139,43.6437,44.3641,45.1041,25.7444,65.4958,46.606,44.2769,44.052762152136
"Choctaw Indians, MS",52.149,45.441,34.7745,38.9596,38.6686,38.5049,46.0657,44.5205,41.6962,43.2672,49.2927,49.6336,43.78411560191221
"Eastern Cherokee, NC",15.0016,35.252,35.2912,37.7311,41.714,40.0114,48.2658,27.8247,34.1057,35.9634,53.1469,88.4119,41.392062620159294
Illinois,47.9062,43.4662,61.7993,41.1808,44.959,54.0146,58.2623,44.4254,57.4061,37.6804,39.8046,43.0887,47.80495087389101
Indiana,13.5029,28.5347,62.7575,21.7416,51.7804,13.7231,40.4302,38.1729,36.1413,43.6485,36.7923,69.2734,38.09274324432353
Michigan,40.6544,40.6646,41.5566,40.9419,40.8978,41.4161,41.6898,43.8415,39.7401,42.3931,40.4108,40.5257,41.226686976117634
Minnesota,27.9222,30.1819,35.6839,49.2439,36.2618,43.7742,48.9641,42.2445,40.9756,51.743,41.3576,76.8281,43.78501239852409
Ohio,15.451,55.5346,33.1302,38.3598,33.4043,34.3758,35.762,36.8936,35.8961,37.3386,35.535,39.7494,35.92799623224295
Wisconsin,27.4827,60.3619,43.0455,44.9556,41.3324,42.8065,45.5122,44.2409,28.5106,63.3961,47.8477,44.4287,44.501322307978384
Arkansas,14.7882,47.8744,42.7337,42.8498,39.0089,39.0357,52.2609,40.7966,62.4115,47.5074,49.5574,47.2195,43.90364225589141
Louisiana,53.6487,37.6003,45.6259,50.4064,46.9525,48.3572,74.9192,32.1767,46.3598,50.1909,49.7717,50.3316,48.91342186105038
New Mexico,15.7274,35.1568,35.2533,36.8429,34.114,34.607,36.8894,35.4152,36.645,37.7733,38.572,62.4161,36.61101704771154
Oklahoma,36.6512,42.9329,33.8466,37.1718,39.1516,33.9881,39.5976,42.6827,36.8232,42.4316,42.8301,45.1386,39.48817370265309
Texas,,,,,,,,,,,,, 
Texas,29.7987,45.9598,27.1546,13.3411,41.8458,16.4775,39.7461,17.4706,27.8883,38.7742,20.5393,32.0669,29.27325089424593
"Acoma, Canoncito & Laguna, NM",41.5436,35.1609,67.4438,41.5028,58.5234,38.8966,39.1797,30.8285,52.3086,78.927,37.9747,43.327,47.142
"Eight Northern Pueblos, NM",55.6797,55.9381,55.4823,59.7196,60.0184,62.2543,57.5494,64.2719,61.4087,59.4465,60.7178,61.7719,59.49473684210526
"Five Sandoval Pueblos, NM",45.6475,45.6169,43.8321,55.616,41.7932,49.3094,56.6371,43.3164,55.3543,57.8289,64.0323,29.7882,49.02601991647928
"Isleta Pueblo, NM",47.4724,48.3275,46.7778,45.3025,45.2062,45.2487,44.9557,46.7988,48.2431,45.7138,63.4002,45.5647,47.73041259038707
"San Felipe Pueblo, NM",7.584,75.2857,46.1629,71.3773,55.5781,55.3347,40.194,59.5054,45.2557,60.5,51.3941,259.7154,70.16057441253264
"Santo Domingo Tribe, NM",72.3673,67.7514,78.5143,90.6124,81.5227,70.6957,77.4862,74.1878,79.407,88.9107,97.2761,111.6667,82.18661639962299
"Zuni Pueblo, NM",52.0784,54.3783,53.3607,54.2222,51.4104,51.8215,54.2161,56.41,55.9699,54.5414,54.2204,53.8864,53.857541276215976
"Cherokee Nation, OK",38.9854,34.841,39.0965,49.9513,55.7316,13.0836,63.3898,22.2649,36.7268,42.7912,49.1268,74.7211,43.522886715818814
"Chickasaw Nation, OK",37.4034,37.4916,34.4589,35.3616,31.8472,53.4003,38.9069,36.2443,-6.3157,58.2741,37.6545,35.11,35.82797784530506
"Choctaw Nation, OK",59.0912,35.2998,33.1788,39.2533,34.0655,30.5239,39.1151,37.6733,39.5812,38.8355,40.4122,38.3003,38.92524005486968
"Citizen Potawatomi Nation, OK",45.3349,44.3065,43.4539,47.1773,42.9892,35.0695,27.5491,37.9934,39.447,44.8973,40.5276,38.3121,40.557153671461016
"Inter-Tribal Council, OK",63.2536,48.8728,55.9032,60.015,58.1659,55.0281,58.9787,59.3742,57.9213,57.5554,56.1633,53.6234,57.09765551143884
"Muscogee Creek Nation, OK",19.1605,66.2887,38.3788,44.5566,40.019,37.2302,44.4501,44.0106,60.0188,25.9432,46.6417,44.1834,42.54639718804921
"Osage Tribal Council, OK",41.5023,42.7104,39.3498,42.7042,51.8947,61.2664,42.8697,56.0432,44.7377,57.1689,69.0902,74.6876,52.134083496412266
"Otoe-Missouria Tribe, OK",60.2606,58.7604,61.6866,60.0796,58.4654,18.8877,58.4402,58.9264,5.8238,62.103,10.6907,41.9155,46.300711141212325
"Wichita, Caddo & Delaware (WCD), OK",17.8041,55.0635,56.1379,14.856,32.4044,31.2472,39.1024,37.9194,16.5398,59.4967,40.5739,34.3671,36.22847388777252
Colorado,39.6209,39.4389,39.4423,40.839,57.8753,23.1195,41.9069,42.3405,41.1176,41.407,59.2345,25.3613,40.964341031782205
Iowa,54.4761,34.5406,32.481,37.4282,32.2372,27.3205,37.3853,34.7267,35.2821,39.1008,37.2677,34.8541,36.47760324098275
Kansas,57.2113,39.3014,37.2419,42.268,38.3812,36.6704,41.4513,39.6321,39.4272,40.3921,41.1456,21.2971,39.58686778744314
Missouri,4.4024,34.2457,50.145,38.274,36.0501,37.0104,39.4563,39.6719,40.2303,38.9268,39.699,60.8504,38.195720126619634
Montana,27.1729,56.6418,31.4222,22.2538,36.0591,41.0312,40.0634,41.3929,23.1693,57.7709,43.5385,47.4024,38.945207735582464
Nebraska,44.5221,45.6341,43.0305,47.0858,43.1256,43.7506,47.2388,45.4394,46.45,46.8945,47.3826,45.0219,45.48153672550876
North Dakota,48.5515,44.1869,45.2413,46.5091,46.4803,43.3475,48.6911,44.4406,44.8051,49.8797,43.6068,49.5089,46.29197794947108
South Dakota,49.8877,41.9972,49.8837,52.6718,57.6872,27.3097,52.7398,46.5994,44.0641,54.1912,44.7361,51.1716,47.7442778440393
Utah,36.6057,31.1227,35.1382,38.6297,35.1954,34.3865,38.0062,36.5688,37.2567,39.5568,34.9212,39.353,36.39900124198593
Wyoming,31.9785,29.7666,33.5535,31.4627,31.1911,31.2589,32.4705,30.2725,31.8808,32.6578,30.9065,34.3403,31.80697188852241
"Ute Mountain Ute Tribe, CO",43.6866,42.5566,46.314,51.7251,50.8442,58.11,56.5654,53.9444,57.1311,56.1579,60.16,49.942,52.138380138380136
"Omaha Sioux, NE",72.263,73.7148,74.8641,72.1909,74.8741,72.2875,77.4625,76.2127,78.6006,80.0089,78.0854,78.1628,75.78785425101215
"Santee Sioux, NE",78.619,71.4138,73.3386,78.4531,74.4103,82.1593,75.8462,72.9274,73.1103,77.6642,83.3083,77.1818,76.52685248130524
"Winnebago Tribe, NE",66.7949,68.2643,70.7273,72.9174,68.093,70.9009,69.1579,69.1102,69.2545,70.207,69.9597,63.7004,69.05320304017373
"Standing Rock Sioux Tribe, ND",50.8504,50.1244,51.2626,52.9976,54.1439,55.0744,56.858,56.0519,52.4248,56.8639,57.3206,50.7261,53.73724201663415
"Three Affiliated Tribes, ND",73.0725,66.6332,69.5472,72.2058,70.3708,73.297,68.5247,74.3359,79.0407,75.1423,79.31,75.2247,72.86368062317429
"Cheyenne River Sioux, SD",61.5638,57.753,66.5488,56.3482,60.5617,64.9268,62.0556,62.8976,67.1313,40.6145,64.4016,63.6806,60.61616161616162
"Rosebud Sioux, SD",43.484,53.5469,51.45,54.8532,60.8799,52.664,65.8089,42.4534,59.1911,54.2249,66.2892,59.6058,55.36930520091386
"Northern Arapahoe, WY",0.4636,50.4042,104.4115,62.5756,26.6901,82.3229,46.9513,10.3023,89.0642,11.4144,57.3656,91.4247,52.54202685304396
"Shoshone Tribe, WY",54.2667,51.1977,61.8509,53.2061,57.3547,51.9468,50.3859,54.6424,63.0563,139.2791,135.5538,121.6913,71.3267429760666
Mountain Plains,34.3252,37.6405,41.2026,39.9447,41.1374,33.588,41.0084,39.9158,39.4381,41.7111,43.5244,41.2147,39.55336561712526
Alaska,61.253,48.0737,49.2145,56.2353,54.9531,41.8126,56.7758,57.2198,53.3466,60.1069,65.295,48.8912,54.53406926922161
American Samoa,69.4014,70.5045,69.9404,69.7619,70.0299,69.6716,71.2197,70.1043,67.1269,72.2372,73.9768,72.2855,70.51720213151224
Arizona,23.2407,41.0342,64.2848,24.7536,42.002,45.0126,64.9337,24.9429,65.4716,45.8939,46.2589,46.5029,44.40973545985288
California,45.2771,46.1162,44.963,48.2636,45.8626,45.7514,48.6339,47.8727,47.2616,49.0914,48.6237,48.7751,47.20841503594524
Guam,73.2612,73.358,72.3546,80.1905,77.9914,79.4797,78.9029,79.3083,78.0309,78.5009,80.3735,77.8892,77.47493047101004
Hawaii,52.6237,67.0549,49.5389,34.9177,67.6294,34.3851,68.1306,34.3017,69.5578,38.4799,52.2976,67.9639,53.100297246173874
Idaho,18.5625,52.323,35.0508,36.8847,35.9606,35.7087,35.8054,34.434,38.2356,37.5001,37.1234,36.8933,36.18883240357205
Nevada,37.3853,36.4902,36.2421,38.1104,35.6024,36.7845,37.5269,35.7272,37.9094,38.0077,39.6324,38.1613,37.30866292646221
Oregon,38.5661,35.9519,39.2271,39.8182,37.6971,39.426,39.2911,39.0659,39.6545,41.9009,39.4655,35.9136,38.831639247255836
Washington,39.9446,40.5925,39.6836,43.0221,40.3224,39.8277,42.881,42.3335,42.4371,43.1707,44.0521,45.3255,41.96285128929322
Northern Marianas,56.4596,84.0844,70.2942,71.3621,72.5368,68.9414,73.1958,71.2196,74.0179,54.8432,72.4648,87.3618,71.31671644413211
"Inter-Tribal Council, AZ",19.2195,56.8062,18.4964,37.4204,36.2378,55.9796,20.9219,37.6684,39.2493,41.0464,57.9007,35.6083,38.0725068761927
"Navajo Nation, AZ",59.8792,13.6428,59.45,45.7962,28.2053,59.6983,33.8648,59.1585,47.4768,33.9077,59.0241,35.3561,44.72572047040579
"Inter-Tribal Council, NV",36.2337,41.9151,31.2161,39.1715,37.5168,37.9521,33.4404,34.6354,38.4348,34.3498,31.6777,22.9386,34.8858050593454
