State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Average Participation
Connecticut,3025.0,2977.0,2936.0,3070.0,2881.0,2852.0,2900.0,2904.0,2890.0,2975.0,3005.0,3064.0,2956.5833333333335
Maine,132.0,353.0,388.0,405.0,402.0,424.0,458.0,478.0,485.0,483.0,488.0,498.0,416.1666666666667
Massachusetts,6308.0,6390.0,6371.0,6557.0,6403.0,6414.0,6441.0,6403.0,6185.0,6093.0,6148.0,6105.0,6318.166666666667
New Hampshire,308.0,303.0,285.0,253.0,263.0,278.0,256.0,274.0,274.0,284.0,286.0,309.0,281.0833333333333
New York,40734.0,41071.0,40395.0,41103.0,40525.0,40303.0,40300.0,40036.0,39422.0,39300.0,39187.0,39300.0,40139.666666666664
Rhode Island,623.0,618.0,614.0,629.0,602.0,619.0,606.0,606.0,644.0,663.0,644.0,663.0,627.5833333333334
Vermont,363.0,359.0,343.0,343.0,336.0,330.0,323.0,326.0,342.0,326.0,344.0,347.0,340.1666666666667
"Indian Township, ME",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
"Pleasant Point, ME",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.8333333333333334
"Seneca Nation, NY",4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0
Delaware,391.0,376.0,378.0,389.0,384.0,412.0,464.0,475.0,528.0,563.0,583.0,582.0,460.4166666666667
District of Columbia,1108.0,1148.0,1127.0,1133.0,1145.0,1101.0,1120.0,1112.0,1076.0,1115.0,1127.0,1124.0,1119.6666666666667
Maryland,8156.0,8220.0,8056.0,8328.0,8164.0,8017.0,7957.0,7892.0,7806.0,7952.0,8064.0,7969.0,8048.416666666667
New Jersey,10292.0,10367.0,10274.0,10571.0,10330.0,10280.0,10367.0,10313.0,10237.0,10315.0,10225.0,10251.0,10318.5
Pennsylvania,2134.0,2109.0,2150.0,2200.0,2209.0,2217.0,2234.0,2222.0,2179.0,2228.0,2393.0,2512.0,2232.25
Puerto Rico,4646.0,4589.0,4540.0,4402.0,4347.0,4125.0,4075.0,4052.0,4004.0,3683.0,3770.0,3818.0,4170.916666666667
Virginia,5113.0,5210.0,5152.0,5239.0,5158.0,5025.0,5000.0,5080.0,5065.0,5123.0,5217.0,5214.0,5133.0
Virgin Islands,620.0,628.0,604.0,612.0,631.0,612.0,601.0,605.0,590.0,599.0,603.0,614.0,609.9166666666666
West Virginia,485.0,496.0,458.0,475.0,460.0,485.0,493.0,491.0,458.0,470.0,499.0,472.0,478.5
Alabama,3663.0,3632.0,3635.0,3757.0,3650.0,3641.0,3605.0,3658.0,3606.0,3691.0,3739.0,3770.0,3670.5833333333335
Florida,22124.0,21846.0,21337.0,21936.0,21713.0,21386.0,21284.0,21223.0,21007.0,21589.0,22111.0,22247.0,21650.25
Georgia,11635.0,10804.0,9968.0,10020.0,9656.0,9430.0,9575.0,9633.0,9599.0,9941.0,10254.0,10389.0,10075.333333333334
Kentucky,3624.0,3579.0,3509.0,3690.0,3713.0,3876.0,3888.0,3870.0,3881.0,3903.0,4044.0,3982.0,3796.5833333333335
Mississippi,1553.0,1470.0,1297.0,1452.0,1325.0,1324.0,1389.0,1208.0,1125.0,1297.0,1187.0,1279.0,1325.5
North Carolina,9748.0,9983.0,9759.0,9805.0,9968.0,9916.0,9747.0,10160.0,10210.0,10263.0,10850.0,11242.0,10137.583333333334
South Carolina,3637.0,3927.0,3861.0,3990.0,3947.0,3979.0,4038.0,4086.0,3997.0,4050.0,4065.0,4132.0,3975.75
Tennessee,4580.0,4590.0,4450.0,4526.0,4459.0,4427.0,4338.0,4334.0,4345.0,4335.0,4424.0,4523.0,4444.25
"Choctaw Indians, MS",8.0,4.0,6.0,12.0,8.0,5.0,9.0,9.0,4.0,4.0,9.0,13.0,7.583333333333333
